Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
SRR16683562_2	(35, 8721.0)	(40, 8717.0)	(45, 11573.0)	(50, 14116.0)	(55, 18100.0)	(60, 21806.0)	(65, 24788.0)	(70, 28734.0)	(75, 31463.0)	(80, 35845.0)	(85, 37540.0)	(90, 40935.0)	(95, 42978.0)	(100, 45033.0)	(105, 45847.0)	(110, 47735.0)	(115, 47688.0)	(120, 48505.0)	(125, 48539.0)	(130, 47710.0)	(135, 47652.0)	(140, 47026.0)	(145, 1147122.0)
SRR16683564_1	(35, 3339.0)	(40, 4110.0)	(45, 6336.0)	(50, 7999.0)	(55, 10707.0)	(60, 12764.0)	(65, 14867.0)	(70, 17274.0)	(75, 19710.0)	(80, 22232.0)	(85, 24300.0)	(90, 26637.0)	(95, 28737.0)	(100, 30661.0)	(105, 32585.0)	(110, 33830.0)	(115, 35198.0)	(120, 35871.0)	(125, 36823.0)	(130, 37765.0)	(135, 37435.0)	(140, 38661.0)	(145, 1219053.0)
SRR16683564_2	(35, 3263.0)	(40, 4079.0)	(45, 6303.0)	(50, 7982.0)	(55, 10671.0)	(60, 12733.0)	(65, 14822.0)	(70, 17253.0)	(75, 19665.0)	(80, 22203.0)	(85, 24262.0)	(90, 26563.0)	(95, 28644.0)	(100, 30607.0)	(105, 32434.0)	(110, 33745.0)	(115, 35135.0)	(120, 35844.0)	(125, 36799.0)	(130, 37726.0)	(135, 37416.0)	(140, 38979.0)	(145, 1219766.0)
SRR16683565_1	(35, 4640.0)	(40, 5276.0)	(45, 7706.0)	(50, 9450.0)	(55, 12689.0)	(60, 14820.0)	(65, 17412.0)	(70, 20284.0)	(75, 22689.0)	(80, 25865.0)	(85, 27742.0)	(90, 31359.0)	(95, 32555.0)	(100, 35204.0)	(105, 36271.0)	(110, 38057.0)	(115, 39124.0)	(120, 39606.0)	(125, 39752.0)	(130, 39975.0)	(135, 40156.0)	(140, 40533.0)	(145, 1151679.0)
SRR16683565_2	(35, 4595.0)	(40, 5275.0)	(45, 7686.0)	(50, 9417.0)	(55, 12656.0)	(60, 14779.0)	(65, 17361.0)	(70, 20265.0)	(75, 22630.0)	(80, 25776.0)	(85, 27715.0)	(90, 31246.0)	(95, 32458.0)	(100, 35131.0)	(105, 36245.0)	(110, 38007.0)	(115, 39066.0)	(120, 39549.0)	(125, 39629.0)	(130, 39861.0)	(135, 40129.0)	(140, 40897.0)	(145, 1152471.0)
SRR16683566_1	(35, 3281.0)	(40, 4080.0)	(45, 6184.0)	(50, 7869.0)	(55, 10793.0)	(60, 12856.0)	(65, 15378.0)	(70, 18370.0)	(75, 20568.0)	(80, 23723.0)	(85, 25069.0)	(90, 28656.0)	(95, 30005.0)	(100, 32796.0)	(105, 33409.0)	(110, 35616.0)	(115, 35881.0)	(120, 37057.0)	(125, 37534.0)	(130, 37802.0)	(135, 37745.0)	(140, 37983.0)	(145, 1147071.0)
SRR16683566_2	(35, 3230.0)	(40, 4055.0)	(45, 6163.0)	(50, 7866.0)	(55, 10762.0)	(60, 12836.0)	(65, 15362.0)	(70, 18289.0)	(75, 20529.0)	(80, 23695.0)	(85, 25001.0)	(90, 28591.0)	(95, 29929.0)	(100, 32725.0)	(105, 33379.0)	(110, 35623.0)	(115, 35892.0)	(120, 37046.0)	(125, 37464.0)	(130, 37827.0)	(135, 37722.0)	(140, 38279.0)	(145, 1147461.0)
SRR16683567_1	(35, 5353.0)	(40, 5934.0)	(45, 8041.0)	(50, 10149.0)	(55, 12976.0)	(60, 15392.0)	(65, 17993.0)	(70, 21310.0)	(75, 23476.0)	(80, 26608.0)	(85, 28937.0)	(90, 32075.0)	(95, 33913.0)	(100, 36447.0)	(105, 38381.0)	(110, 40062.0)	(115, 41563.0)	(120, 42854.0)	(125, 43512.0)	(130, 43972.0)	(135, 44920.0)	(140, 45019.0)	(145, 1294615.0)
SRR16683567_2	(35, 5269.0)	(40, 5903.0)	(45, 8011.0)	(50, 10108.0)	(55, 12924.0)	(60, 15364.0)	(65, 17943.0)	(70, 21237.0)	(75, 23417.0)	(80, 26548.0)	(85, 28858.0)	(90, 31979.0)	(95, 33825.0)	(100, 36360.0)	(105, 38316.0)	(110, 39978.0)	(115, 41449.0)	(120, 42799.0)	(125, 43375.0)	(130, 43911.0)	(135, 44899.0)	(140, 45328.0)	(145, 1295701.0)
SRR16683568_1	(35, 7852.0)	(40, 8502.0)	(45, 11949.0)	(50, 14528.0)	(55, 18624.0)	(60, 22422.0)	(65, 25986.0)	(70, 30380.0)	(75, 33235.0)	(80, 37026.0)	(85, 38575.0)	(90, 42080.0)	(95, 43490.0)	(100, 45293.0)	(105, 46144.0)	(110, 46812.0)	(115, 46362.0)	(120, 46436.0)	(125, 45779.0)	(130, 45209.0)	(135, 44281.0)	(140, 43426.0)	(145, 1086132.0)
